Year,Hospitals,Public Health,Administration,COVID-19 Response Funding,Total,Province
2022,2700.831456017024,246.75222769091388,39.04974152672301,57.32456126324583,7337.069194283866,N.L.
2023,2788.7967477111893,298.957282823038,39.2608238168103,0.0,7748.235284278242,N.L.
2024,3256.4767530628574,348.53986129243594,41.11895157271472,0.0,8271.927429779756,N.L.
2020,-7.254872921143496,-28.670894516503697,7.454528846516784,0.0,0.0998218856893329,N.L.
2021,12.044357633449463,-23.798977408215272,3.1917529935658,27.39473950978861,9.358124880422958,N.L.
2022,7.036500082590691,90.38366849868558,3.2688190477325296,-75.59523570456125,6.1121556541053,N.L.
2023,3.2569707931308534,21.156872876348288,0.5405472144875523,0.0,5.603955463779808,N.L.
2024,16.769956639382233,16.585171634285768,4.732778315030739,0.0,6.758857033731602,N.L.
2024,0.0,0.0,0.0,0.0,0.0,N.L.
2020,338.3086931597653,62.88344348175932,1.70233675,14.1756,820.9516032062835,P.E.I.
2021,350.2261453553778,77.67976017598319,1.76406825,24.262100000000004,888.801240593909,P.E.I.
2022,375.784185434656,101.9222389319261,2.076750266332265,6.5123,966.0643284098056,P.E.I.
2023,430.1832046454063,110.91956268476528,1.7061101701908024,0.0,1094.877020231602,P.E.I.
2024,453.8078530020942,134.99551563538884,1.5294823770491803,0.0,1185.672063054017,P.E.I.
2020,1.8064551453898403,21.939481270642226,-3.216161068300416,0.0,4.429425678635157,P.E.I.
2021,3.522656212083941,23.529749445918725,3.626280170477436,71.15395468269423,8.264754843359112,P.E.I.
2022,7.29758198187751,31.2082306910084,17.725052096610483,-73.15854769372808,8.692954542262843,P.E.I.
2023,14.476133195394848,8.827635506367248,-17.847119229990394,0.0,13.333759257401525,P.E.I.
2024,5.491764462576199,21.70577702244256,-10.35266046868878,0.0,8.292716089995999,P.E.I.
2024,0.0,0.0,0.0,0.0,0.0,P.E.I.
2020,41.20933461101448,7.6598234580654525,0.2073614014944858,1.726727853948541,100.0,P.E.I.
2021,39.4043267897952,8.739834805369592,0.1984772488415099,2.729755415708887,100.0,P.E.I.
2022,38.89846404464774,10.550253842794882,0.2149701842061292,0.6741062482577738,100.0,P.E.I.
2023,39.29055014365071,10.130778218479934,0.1558266488988786,0.0,100.0,P.E.I.
2024,38.27431438615414,11.385569403370408,0.1289970831487407,0.0,100.0,P.E.I.
2020,-2.511715942321746,16.767357934047688,-7.321295408119588,0.0,0.0,P.E.I.
2021,-4.380094554443104,14.099689806387584,-4.284381080059485,58.08834087356058,0.0,P.E.I.
2022,-1.2837746165440531,20.71456815537296,8.309735982782307,-75.30525099873404,0.0,P.E.I.
2023,1.0079732159936627,-3.9759766026996815,-27.512436445855904,0.0,0.0,P.E.I.
2024,-2.586463548566009,12.385930851803284,-17.217572180191397,0.0,0.0,P.E.I.
2024,0.0,0.0,0.0,0.0,0.0,P.E.I.
2020,2125.1480477141918,395.01387298285294,10.693540231040307,89.04662893468932,5156.957926581467,P.E.I.
2021,2160.116357283081,479.11134794263467,10.880377529559064,149.64319416775118,5481.926816834999,P.E.I.
2022,2247.6743871250087,609.6265218312684,12.421646687156166,38.95195827451732,5778.311412360969,P.E.I.
2023,2475.347434764432,638.2500571663317,9.817248529468849,0.0,6300.108870235415,P.E.I.
2024,2546.811446363669,757.6072607681106,8.583595896614838,0.0,6654.100764989762,P.E.I.
2020,-0.3685384406941661,19.334365619819277,-5.283851457995392,0.0,2.1983949377543555,P.E.I.
2021,1.645452871224773,21.289752262304027,1.7471977893384727,68.05037535728164,6.301561790498322,P.E.I.
2022,4.053394139936728,27.241094256915964,14.165585278726644,-73.97011037411305,5.406577019886028,P.E.I.
2023,10.129271790592352,4.69525755688589,-20.96660952674041,0.0,9.030275813072585,P.E.I.
2024,2.887029537574315,18.70069610830818,-12.566175025017468,0.0,5.618821865551671,P.E.I.
2024,0.0,0.0,0.0,0.0,0.0,P.E.I.
2020,2222.3934984945627,74.7206645754375,53.96341105249999,225.5189936325,5258.932011624575,N.S.
2021,2257.205266734999,182.07060968250104,55.563912855,319.3410941275,5677.623972855003,N.S.
2022,2586.874296392686,256.0664649048141,62.36886803499999,82.42072575,6263.390887374719,N.S.
2023,3132.0784893536925,222.7704148428072,72.22911979749999,0.0,7017.627841171889,N.S.
2024,3463.66545760467,159.7144017557975,80.1353938175,0.0,7517.080936204268,N.S.
2020,5.8365518161270336,0.5048027913345354,0.4706334219012564,0.0,9.407850763971236,N.S.
2021,1.5664088409193866,143.66834893268882,2.9659018421628547,41.60274883449069,7.961539725269917,N.S.
2022,14.605186090786804,40.641295896876926,12.247076979186566,-74.19037910695805,10.317113590478977,N.S.
2023,21.07578994933292,-13.002893633254107,15.809573066111524,0.0,12.041990789964997,N.S.
2024,10.586802641698824,-28.30538028647284,10.946103236708238,0.0,7.117121431007312,N.S.
2024,0.0,0.0,0.0,0.0,0.0,N.S.
2020,42.25940730137005,1.4208334393803086,1.026128706992539,4.288304034621532,100.0,N.S.
2021,39.75615992758252,3.206809935863832,0.9786472848616564,5.6245551951711725,100.0,N.S.
2022,41.301498547809246,4.088304075368728,0.9957684129329778,1.3159122148377749,100.0,N.S.
2023,44.63158435074066,3.174440421816474,1.0292526396703063,0.0,100.0,N.S.
2024,46.07726705352782,2.1246864721992056,1.066044046852636,0.0,100.0,N.S.
2020,-3.26420720533912,-8.137485482502981,-8.168716668560204,0.0,0.0,N.S.
2021,-5.923526934336287,125.6992161771242,-4.6272384553050045,31.16036432495097,0.0,N.S.
2022,3.887041965425309,27.488194097398065,1.7494687142305398,-76.60415501002605,0.0,N.S.
2023,8.062869193660415,-22.353123366192666,3.3626520285678474,0.0,0.0,N.S.
2024,3.239147173056089,-33.06894476276167,3.5745749648127934,0.0,0.0,N.S.
2024,0.0,0.0,0.0,0.0,0.0,N.S.
2020,2246.730078707118,75.53890196148429,54.554343703496265,227.9885657769964,5316.520562356016,N.S.
2021,2257.412948726282,182.08736171977927,55.56902520531889,319.37047621131137,5678.146362320336,N.S.
2022,2522.6845870745738,249.7125295894116,60.82127079950655,80.3755693869491,6107.973501625849,N.S.
2023,2958.436044176781,210.4200220675731,68.22473707936382,0.0,6628.570522900752,N.S.
